len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
61,7,0,0,24,4,25,4,4,0,13,5.5,8,4.75,0,12,4,0,0,0,0,0,-1,-1,-1,-1,http://mail.mallahaschool.sch.sa/~masseri/invoice/Ed/Ed/index.php...,1
26,3,0,1,1,0,25,4,0,0,8,5.5,0,0,0,0,0,0,0,0,0,0,237,3,317,94089,http://tea-room.stores.yahoo.net/,0
66,4,0,1,42,3,19,2,3,0,16,9,18,12.66666667,0,5,3,0,0,0,0,0,2,-1,75,-1,http://agricole-service.fr/particuliers/security/g2e36g_information/up...,1
58,6,1,0,32,1,23,3,1,0,15,7,30,30,0,3,3,0,0,0,0,0,10,2,290,-1,http://www.copsonmigration.com/cardactivityconfirmation.chase/...,1
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,210,6,2354,-1,http://www.morgancom.com/,0
37,3,0,0,8,2,23,4,2,0,12,5,3,2.5,0,6,0,0,0,0,0,0,-1,-1,-1,-1,http://www.stampamoveis.com.br/js/lib/dropbx,1
28,2,0,0,1,0,27,3,0,0,19,8.333333333,0,0,0,0,0,0,0,0,0,0,194,10,125,11228,http://www.alexandraandnicolay.com/,0
33,2,0,0,21,2,12,3,2,0,4,3.333333333,11,9,0,0,0,0,0,0,0,0,215,109,342,-1,http://www.tpub.com/content/aerographer/,0
19,2,0,0,4,1,15,3,1,0,7,4.333333333,2,2,0,0,0,0,0,0,0,0,70,41,318,-1,http://www.gyrogeo.com/n4/,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,234,30,146,-1,http://www.craftstones.com/,0
16,1,0,0,1,0,13,2,0,0,9,6,0,0,0,2,0,0,0,0,0,0,52,8,118,-1,http://aridfoods.com/V4,1
66,5,1,0,15,2,44,3,2,0,32,14,6,6,0,7,3,0,0,0,0,0,52,8,143,-1,http://niamomniamodbustnuoccawenaetaerc.twomini.com/verify/verify/inde...,1
